"Avaliacao","Lucro_Mediana","Lucro_Min","Lucro_Max"
1268,576,421,800
1269,576,421,800
1270,576,421,800
1271,576,421,800
1272,576,421,800
1273,576,421,800
1274,576,421,800
1275,576,421,800
1276,576,421,800
1277,576,421,800
1278,576,421,800
1279,576,421,800
1280,576,421,800
1281,576,421,800
1282,576,421,800
1283,576,421,800
1284,576,421,800
1285,576,421,800
1286,576,421,800
1287,576,421,800
1288,576,421,800
1289,576,421,800
1290,576,421,800
1291,576,421,800
1292,576,421,800
1293,576,421,800
1294,576,421,800
1295,576,421,800
1296,576,421,800
1297,576,421,800
1298,576,421,800
1299,576,421,800
1300,576,421,800
1301,576,421,800
1302,576,421,800
1303,576,421,800
1304,576,421,800
1305,576,421,800
1306,576,421,800
1307,576,421,800
1308,576,421,800
1309,576,421,800
1310,576,421,800
1311,576,421,800
1312,576,421,800
1313,576,421,800
1314,576,421,800
1315,576,421,800
1316,576,421,800
1317,576,433,800
1318,576,433,800
1319,576,433,800
1320,576,433,800
1321,576,433,800
1322,576,433,800
1323,576,433,800
1324,576,433,800
1325,576,433,800
1326,576,433,800
1327,576,433,800
1328,576,433,800
1329,576,433,800
1330,576,433,800
1331,576,433,800
1332,576,433,800
1333,576,433,800
1334,576,433,800
1335,576,433,800
1336,576,433,800
1337,576,433,800
1338,576,433,800
1339,576,433,800
1340,576,433,800
1341,576,433,800
1342,576,433,800
1343,576,433,800
1344,576,433,800
1345,576,433,800
1346,576,433,800
1347,576,433,800
1348,576,433,800
1349,576,433,800
1350,576,433,800
1351,576,433,800
1352,576,433,800
1353,576,433,800
1354,576,433,800
1355,576,433,800
1356,576,433,800
1357,576,433,800
1358,576,433,800
1359,576,433,800
1360,576,433,800
1361,576,433,800
1362,576,433,800
1363,576,433,800
1364,576,433,800
1365,576,433,800
1366,576,433,800
1367,576,433,800
1368,576,433,800
1369,576,433,800
1370,576,433,800
1371,576,433,800
1372,576,433,800
1373,576,433,800
1374,576,433,800
1375,576,433,800
1376,576,433,800
1377,576,433,800
1378,576,433,800
1379,576,433,800
1380,576,433,800
1381,576,433,800
1382,576,433,800
1383,576,433,800
1384,576,433,850
1385,576,433,850
1386,576,433,850
1387,576,433,850
1388,576,433,850
1389,576,433,850
1390,576,433,850
1391,576,433,850
1392,576,433,850
1393,576,433,850
1394,576,433,850
1395,576,433,850
1396,576,433,850
1397,576,433,850
1398,576,433,850
1399,576,433,850
1400,576,433,850
1401,576,433,850
1402,576,433,850
1403,576,433,850
1404,576,433,850
1405,576,433,850
1406,576,433,850
1407,576,433,850
1408,576,433,850
1409,576,433,850
1410,576,433,850
1411,576,433,850
1412,576,433,850
1413,576,433,850
1414,576,433,850
1415,576,433,850
1416,576,433,850
1417,576,433,850
1418,576,433,850
1419,576,433,850
1420,576,433,850
1421,576,433,850
1422,576,433,850
1423,576,433,850
1424,576,433,850
1425,576,433,850
1426,576,433,850
1427,576,433,850
1428,576,433,850
1429,576,433,850
1430,576,433,850
